days_since_publication,cited_by_count,ProjectTitle
2470,176,"Credit Market Frictions, Creditor's Rights, and the Real Economy"
431,3,Workers and International Markets
666,59,The Industry Life-Cycle of the Size Distribution of Firms
3047,167,Measuring the Productivity Contribution and Dynamism of Superstar Firms
3292,108,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?
2501,66,The Causes and Consequences of International Trade
1196,2,"""Estimating the Impact of Union Organization on Establishment Survival and Employment: Evidence from Census and Commercial Market Research Data"""
2136,95,"Residential Outside Options, Households' Residential Mobility, and the Welfare Effects of Place-Based Policies and Gentrification"
3962,9,Structural Transformation and the End of US Regional Convergence
1800,10,U.S. Global Value Chains
2346,283,Can Financial Factors Explain Aggregate Productivity? Evidence from U.S. Establishments
431,2,"Payroll Rigidity, Employment and Investment throughout the Business Cycle"
2197,75,Disability Insurance and Employment Decisions
1131,28,Effects of Access to Early Childhood Education on Determinants of Mothers' Human Capital Investments
675,9,Studies of Homelessness using the National Survey of Homeless Assistance Providers and Clients
675,4,"Firm Growth, Entry, and Survival in Underutilized Business Areas"
400,17,"Introduction of Head Start, Maternal Labor Supply and Child Outcomes"
460,15,Investment in the Heat of the Moment: Heating and Cooling Upgrades in Response to Extreme Weather
491,3,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
2308,6,The Effect of Health Care Costs on the Growth and Survival of Small Business
644,15,"Supply Chains, Shocks, and the Real Economy"
491,2,"The Dynamics of Compensation at Young, High Growth Firms"
3353,4,"Globalization, Financial Markets, and Trade Adjustments"
1435,3,Housing Wealth and Labor Market Outcomes
1162,3,Plant-level responses to administered trade protection
2277,12,Firm Dynamics in the Agricultural Services Sector: Evidence from the Longitudinal Business Database
460,1,Effects of Organizational Structure and Governance on Retail Establishment Productivity
705,1,"Outsourcing, Firm structure, and Headquarter Location"
1114,6,"The Social and Organizational Determinants of Employment-Based Health Insurance, 1997-2014"
2409,471,Employment Diversity and Firm Outcomes
2105,229,Neighborhood Income and Material Hardship in the United States
476,37,The Effects of Cigarette Price and Tax Increases on Decisions to Quit Smoking
5423,1188,The impact of banking market structure on the life-cycle dynamics of non-financial industries
1527,20,The Impact of Labor Management on Capital-Labor Substitution
2105,31,"Firm Heterogeneity, Misallocation, and Trade"
4630,722,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
2483,221,Regional Purchase Coefficients and U.S. Interegional Trade
1756,419,"Patterns of Residential Settlement, Distribution,  and Locational Attainment in the United States:  1970-2000 and Beyond"
10171,221,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
4471,2485,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
5604,132,Forecasting Income Inequality in the United States
13123,1277,Developing an innovative methodology to measure the rural-urban continuum as applied to tobacco control
10444,1205,Causes and Consequences of Asset Reallocation and Utilization in the Economy
10171,99,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
4874,44,Forecasting Income Inequality in the United States
10444,540,The real costs of credit access: Evidence from the payday lending market
5768,489,Validating Estimates of Migration Status among Asian Immigrants in Representative Data Sources
4718,29,The Role of Financial Technologies in the U.S. Banking Industry
8679,294,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
13031,274,The Impact of Native American Casinos on Local Communities
3595,445,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
3778,28,Health and Migration in the Continental United States
11813,249,The Financial Assimilation of Immigrants
7600,16,Do Shocks Abroad Shift Supply Curves in the U.S.?
8891,461,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
6061,360,Estimating the Determinants of Private School Enrollment: The Role of School Attendance Zone Racial and Ethnic Composition
8587,164,The Impact of Native American Casinos on Local Communities
10627,190,Identifying the Later-Generation Descendants of U.S. Immigrants
7796,199,Analysis of Census Nonemployer Data and Integration of These  Data into Other Census Longitudinal Data Series
7765,264,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
11144,251,Evaluating the Utility of SIPP Data to Examine the Increasingly Heterogeneous Foreign Born Population
8345,378,Does Access to Health Care Affect Teen Birth Rates and School Dropout Rates? Evidence from School-based Health Centers
1383,33,The Demographics of Air Conditioning Adoption: Evidence from the American Housing Survey
7310,233,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
7556,234,Bundling Frictions of Tiebout Choice in the Sub-Metropolis
6681,206,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement"
13184,198,The Spatial Distribution of Firms: Causes and Consequences
5604,13,Analysis of the Child Care Market in the United States
13123,175,Developing an innovative methodology to measure the rural-urban continuum as applied to tobacco control
9166,108,The Impact of Native American Casinos on Local Communities
9044,177,The social contexts of the children of immigrants in the U.S.
10018,204,The identification and neighborhood locations of children from mixed and unmixed ethno-racial backgrounds
13274,140,The Impact of Native American Casinos on Local Communities
10444,147,Measuring the Long-Run Health and Economic Effects of Childhood Health Shocks: Evidence from 1950s Atmospheric Nuclear Testing and the Salk Poliomyelitis Vaccine Trial of 1954
7583,177,The Causes and Consequences of International Trade
11570,155,Estimating the Cost Saving from Incentive-Based Environmental Policy When Cost Are Heterogeneous
10352,170,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
4261,11,Innovation in the Business Research and Development and Innovation Survey
5604,187,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
8161,12,Linking the National Survey of College Graduates to Census Bureau Employer Data
8952,158,An Analysis of the Measurement and Determinants of Vertical Integration
5871,202,"WO00-01-01  Determinants of Business Growth and Survival: the Role of Gender, Race and Ethnicity"
8161,16,Using Restricted Census Data to Examine Labor Union Formation and its Wage Effects for Multinational Firms and their Establishments in the Manufacturing Sector
1221,10,The Determinants and Ramifications of Firms' Global Production
8710,158,Causes and Consequences of Asset Reallocation and Utilization in the Economy
2568,65,Answering the race question
2545,80,Marriage and Economic Opportunity in the United States
5239,8,Measurement Error in Expected and Actual SSI Benefits: Causes and Consequences
2682,5,The Anatomy of Census 2000
10232,148,"Employment, Agglomeration, and the Spatial Sorting of Households and Firms"
9987,11,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
12485,186,"Migration, Gentrification, and the Residential Integration of Same-Sex Couples: An Analysis of Census Microdata"
7249,135,Welfare Reform and Migration:  Moving to Benefits/Moving from Restrictions?
9197,9,Linking the National Survey of College Graduates to Census Bureau Employer Data
3780,9,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
9226,77,Answering the race question
3557,6,"Trends, Transitions, and Well-Being in Small-Town America"
4045,201,The Emergence of E-Commerce Usage and the Characteristics of Firm Structures and Operations
3584,170,"Understanding the Relationships Between Gender/Racial Diversity, Management Practices, and Organizational Performance"
7583,7,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
9987,8,Half a Century of Race-Related Population Dynamics
6335,190,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
8253,146,Military Service and Immigrants' Assimilation: Evidence from the Vietnam Draft Lotteries
8467,83,"Wages, Production and Pass-through"
6564,4,The Anatomy of Census 2000
11024,81,Half a Century of Race-Related Population Dynamics
4181,65,Health and Migration in the Continental United States
10293,141,Scale and Scope Economies and the Organization of the U.S. Advertising and Marketing Services Industry
6306,11,Antecedents and Consequences of Outsourcing Innovation Activities
11813,122,An Evaluation of the Impact of the Social Security Disability Insurance Program on Labor Force Participation during the 1990s
6717,57,"Entrepreneurship, Careers and Social Mobility"
11570,111,"COVID-19 Outbreaks, Immigration Enforcement, and Demographic Change in the Rural United States"
3778,10,The Dynamics of the Small Business Sector: Evidence from the Survey of Business Owners and the Annual Survey of Entrepreneurs
7515,78,Measuring Uncertainty Over the Business Cycle
4477,50,Using the Economic Census to Study the Arts Sector
8618,73,The Economic Effects of Firm Incentives and Improvements in Census Bureau Sampling Weights
6963,105,Productivity over Time and Space:  Estimates for States and Counties 1976 - 2007
526,1,Evaluating and Enhancing the MEPS-IC as a Source of  Employment-Related Insurance Estimates
6700,1,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
2377,6,"Dynamics of Employment, Trade and Investment  at Multinational Firms"
5654,21,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States
889,19,Household Spatial Sorting Impacts of the Housing and Financial Crisis
878,3,"The Impact of Uncertainty, Investment, and Large Deviations in the Business Cycle on International Trade Data Quality and Measurement"
2317,1,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
557,7,Private equity deals: operational and financial performance of US buyouts
5239,4,An Empirical Investigation of  The Supply of and Demand for Private Schooling in the United States
2398,0,Understanding Informational Barriers to Trade Using the Scope of Exported Products and U.S. State Exporting Promotion Programs
1685,1,Misreporting of Program Participation in the Current Population Survey:
1639,21,Weighting Factor Development Using the Census of Retail Trade
1670,1,Worker and Firm Responses to Changes in the Business Environment
5235,26,Starting School at Four: The Effects of Universal Pre-Kindergarten on Children and Mothers
8161,55,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
8832,1356,An Examination of Adoption and Utilization of Electronic Commerce Technologies within US Firms
10352,496,Community Variation in Victim Crime Reporting: A Multilevel Analysis Using Data from the Area-Identified NCVS
4235,3393,How Do U.S. Firms Adjust to Chinese Import Competition?
11267,307,The Impact of Foreign Trade on the U.S. Economy
8436,811,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
4423,635,Estimating the Determinants of Private School Enrollment: The Role of School Attendance Zone Racial and Ethnic Composition
3251,15,The Effects of Vietnam Draft Lottery Status on Later Life Outcomes
348,0,"""Estimating the Impact of Union Organization on Establishment Survival and Employment: Evidence from Census and Commercial Market Research Data"""
3792,10,"Determinants of Marriage, Fertility, and Migration Decisions"
6061,264,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
7796,2,Survey Data on Capacity Utilization and Plant Work Patterns in U.S. Manufacturing
3241,30,The Role of Alternative Opportunities in the Female Labor Market On Teacher Supply and Quality: 1940-1990
2554,16,R&D Expenditures by Industry
6304,262,Locational Attainment and Residential Segregation in U.S. Metropolitan Areas
5484,165,"Globalization, Investment and Corporate Payout Strategies"
4143,6,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
6059,20,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor
8375,92,Marriage and Economic Opportunity in the United States
9683,30,Employment Responses to Federal and State Changes in Access to Private and Public Health Insurance
8679,9,The Spatial Dynamics of City and Suburban Employment Opportunities
7522,23,Economic Integration and Labor Demand Elasticities
7675,63,California Immigrant Families and Welfare Reform
7430,43,WO98-10  Food Stamp Participation and the Employment Prospects of Low-Skill Workers
10171,89,California Immigrant Families and Welfare Reform
5726,0,Longitudinal Analysis of the Earnings and Food Stamp Participation of the Working Poor
4508,0,The Employment Dynamics of Firms and Establishments
7491,528,The Antecedents and Consequences of Employee Entrepreneurship
3326,298,The Long-Term Effects of Housing Mobility on Civic and Political Participation
2592,43,Intergenerational Insurance and Brain Drain in the Great Recession
4282,104,Human Capital Externalities & the Investment Decision of US Manufacturing Firms
1754,2,"Individual, Situational and Contextual Influences on Official Agency Contacts by Assault Victims:  Implications for Estimating Levels of Assaultive Violence"
3382,97,The Urban Geography of Household Mortgages and Housing Returns
3778,25,Worker and Firm Responses to Changes in the Business Environment
8375,14,California Immigrant Families and Welfare Reform
2258,2,California Immigrant Families and Welfare Reform
1678,1452,California Immigrant Families and Welfare Reform
2378,404,California Immigrant Families and Welfare Reform
2378,1085,California Immigrant Families and Welfare Reform
2867,4,BR98-10  The Causes and Consequences of Job Destruction
5969,26,"Risk Exposure, Managerial Characteristics, and Firms Real Actions"
5239,4,The Behavior of Small and Large Firms over the Business Cycle
4874,16,The Behavior of Small and Large Firms over the Business Cycle
4143,58,The Costs of Entrepreneurship Versus Work
5969,48,The Changing Structure of The Human Services Industry
4874,11,Venture Capital Financing in Young Firms
6335,58,STUDIES TO ASSESS THE QUALITY AND IMPROVE THE RESULTS OF THE MEDICAL EXPENDITURE PANEL SURVEY-INSURANCE COMPONENT
3413,1,The Antecedents and Consequences of Employee Entrepreneurship
6549,56,Does Organizational Innovation Complement Technology Adoption?
8891,54,Examining Workplace Geo-coding for Travel Forecasting Using the American Community Survey
2752,96,The Long-term Effects of the WIC Program: New Evidence
7399,152,The Impact of Workplace and Technological Innovations on the Demand for Less-Skilled Labor: A Study of Three Industries
6153,320,"The Effects of Place-Based Treatments on Neighborhoods, Incumbent Residents, and In-Migration"
9987,3,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
5239,67,"Family Resources, Race, and Small Business Outcomes"
5969,32,"Family Resources, Race, and Small Business Outcomes"
3778,24,"Family Resources, Race, and Small Business Outcomes"
5969,1,"Family Resources, Race, and Small Business Outcomes"
1744,54,"Location, growth, and productivity in the manufacturing and service sectors"
3156,291,"Location, growth, and productivity in the manufacturing and service sectors"
7888,385,"Location, growth, and productivity in the manufacturing and service sectors"
2982,36,Financial Reporting Regulation and Firm Dynamics
6462,246,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
6132,163,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
3418,79,Neighborhood Specific Risk and Lending Decision
4143,4,Neighborhood Specific Risk and Lending Decision
6335,45,Neighborhood Specific Risk and Lending Decision
2344,149,A Study of the Annual Capital Expenditures Survey Data
783,2,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
3778,63,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
7194,156,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
4508,5,The Impacts of Efforts to Reduce Pollution Emissions on Economic Activity and Environmental Quality:  Evidence from Plant-Level Data
5431,25,The Changing Structure of The Human Services Industry
10536,79,The Rise of Punitive Criminal Justice Policy in the Wake of the Great Migration
4926,88,Can the Location of Labor Intensive Manufacturing Account for the Employment of Foreign-Born Workers in the US?
4874,6,The Effect of Affirmative Action on Workers' Outcomes
3870,17,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
3322,59,The Effect of Rent Control and Inclusionary Zoning on Housing Affordability and Access to Opportunity
4143,12,The Effects of Interactions with International Markets on US Firm Performance
6061,26,What is the effect of the cultural environment on the local economy?
4874,3,"Determinants of Marriage, Fertility, and Migration Decisions"
1221,5,The Effects of the New Deal Relief Spending on Longevity
1952,15,The Role of Alternative Opportunities in the Female Labor Market On Teacher Supply and Quality: 1940-1990
5788,96,The Determinants of Industrial Location
4508,2,The Determinants of Industrial Location
2885,25,The Determinants of Industrial Location
3078,9,"Agglomeration effect, strategic orientation, and multi-unit franchising"
5969,31,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
5969,38,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
5484,131,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
5778,185,"An Economic Analysis of Availability, Choice and Valuation of School Quality Using the 1990 Decennial Census Long Form Data"
3778,0,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
4087,265,The Financial Assimilation of Immigrants
3510,124,"Cross-Neighborhood Mobility and Implications for Understanding Cities, Neighborhoods, and the Effectiveness of Place-Based Policies"
4722,150,"The Effects of Place-Based Treatments on Neighborhoods, Incumbent Residents, and In-Migration"
279,1,New Directions in Research on Immigration and Crime
1699,116,Structural Transformation and the End of US Regional Convergence
3847,20,A General Equilibrium Analysis of Urban Labor and Housing Markets
7949,14,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
1488,30,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
5845,1,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
7949,11,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
5845,9,The Impact of Difference in Enumeration Procedures and Changes in Complex Survey Questions:  Census/ACS Disability Questions
5478,12,Plant Size and Plant Function
6122,25,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
5489,81,Effects of CPS Topcoding on Labor Earnings and Income Inequality Estimates
4814,35,The Impact of Spin-out Generation on Parent and Progeny Firms
3356,12,Firm and Establishment Growth in Time and Space
2531,16,"The Decennial Employee-Employer Database: Construction, Assessment, and Application to the Study of Residential and Labor Market Segregation"
4508,0,The Insurance Role of the Family: Long-run responses to unemployment shocks
6488,2117,Financial Constraints and the Margins of Misallocation Across Firms
602,3,"Wage Mandates, Staff Turnover and Nursing Home Quality"
4026,53,Survey of Industrial Research and Development: Evaluation of Imputation Methods
2255,1028,The Price of a Safe Home: Lead-Abatement Mandates and the Housing Market
6469,46,"BR00-05 Interactions, Neighborhood Selection and Housing Demand"
5545,214,"Examining the impact of Supplemental Nutrition Assistance Program purchasing power on adults' food security, nutrition, and health"
4874,1,The Dynamics of Owner Age and Business Performance
1091,17,The Dynamics of Owner Age and Business Performance
7430,4,Effects on Labor Markets of Reservists and Military Spouses
2682,1,Effects on Labor Markets of Reservists and Military Spouses
1275,0,Understanding Firm Investment
3584,13,Methodologies for Analyzing Risk Assessment
7065,133,Methodologies for Analyzing Risk Assessment
3988,13,Disability Insurance and Employment Decisions
1555,69,Disability Insurance and Employment Decisions
5338,53,Accuracy of Same-sex Couple Data in the American Community Survey
3778,149,Accuracy of Same-sex Couple Data in the American Community Survey
3450,16,Capitalist Capital
1555,148,Community Hazard Mitigation and the Community Rating System of the National Flood Insurance Program
2227,7,Analyzing Rental Affordability during the Great Recession 2007 to Present (AHS Small Grants Project)
2813,25,"Business Cycles, Business Dynamics and Firm Behavior"
6519,723,"Business Cycles, Business Dynamics and Firm Behavior"
1964,0,Review of County Business Patterns Microdata for Island Areas (EPCD-453)
2860,1,Housing Recovery in New Orleans: A Multi-Level Approach to Vulnerability and Resilience (AHS Small Grants Project)
3952,60,Improving the Interpretability and Usability of the American Community Survey Through Hierarchical Multiscale Spatio-Temporal Statistical Models - NCRN
2317,126,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
3900,8,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
1800,47,Home Equity  Lending and Small Business: Relaxing Credit Constraints in Texas
3778,0,Native American Economic Development
856,0,Firm Dynamics Across Sectors and Countries
6153,31,The 'Safe Design Project': Addressing Disclosure Risk of Contextualized Microdata in Survey Design
5755,5,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
3568,2743,The Impact of Workplace and Technological Innovations on the Demand for Less-Skilled Labor: A Study of Three Industries
4001,1026,"The Impact of Trade on Consumption, Earnings, and Inequality in the United States"
4023,246,Imports and Productivity in U.S. Manufacturing
4508,92,Productivity and Wage Dispersion in the Great Recession and Beyond
3413,10,Internal Resource Reallocation over the Business Cycle
3778,1,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
4538,26,Technology Use and Worker Outcomes: Evidence from Linked Employer-Employee Data
4143,0,California Immigrant Families and Welfare Reform
10749,112,The Health Care Safety Net and Employer Health Insurance Provision
9471,1,The Effect of Employer-Provided Health Insurance on Employment and Wages
250,0,Social Indicators for Rural Alaska Communities (SIRAC)
3047,4,"Wage Changes, Net and Gross Employment Flows"
3721,20,Inside the Labyrinth: Housing Segregation in America
4661,5,Understanding the Relationship between the School Breakfast Program and Food Insecurity
5604,30,Business Cycles and the Behavior of Constrained and Unconstrained Firms
901,8,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
905,1,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
1282,5,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
411,262,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
3233,43,Alternative Approaches to the Analysis of Complex Sample Survey Data: Applying State-of-the-Art Methods to NCSES Surveys
4874,2,The role of idiosyncratic factors as determinants of aggregate outcomes
4193,171,Do Big Box Grocers Improve Food Security?
2317,2,Do Big Box Grocers Improve Food Security?
2111,6,Do Big Box Grocers Improve Food Security?
2139,11,Do Big Box Grocers Improve Food Security?
1586,4,Do Big Box Grocers Improve Food Security?
3262,3,The Rise of Punitive Criminal Justice Policy in the Wake of the Great Migration
2018,16,The Incidence of a Local Labor Demand Shock with One-Sided Migration: American Indian-Owned Casino Gaming
7804,201,Changes in Labor Demand and the Occupational and Geographic Mobility of U.S. Workers
7279,29,Identifying the Later-Generation Descendants of U.S. Immigrants
2668,38,"Investigating the Influence of Urbanicity on Employment, Commuting & Wage Earnings among People with Disabilities"
722,10,"Investigating the Influence of Urbanicity on Employment, Commuting & Wage Earnings among People with Disabilities"
1384,168,Local Multiplier Effect
4874,6,Productivity Growth in Construction
9136,71,Household Spatial Sorting Impacts of the Housing and Financial Crisis
3721,6,Effects of Unemployment Insurance Benefits on Job and Match Quality
5879,83,Effects of Unemployment Insurance Benefits on Job and Match Quality
5604,23,Effects of Unemployment Insurance Benefits on Job and Match Quality
2155,5,Volunteering and Community Context
1646,45,Volunteering and Community Context
4106,46,Locational Attainment and Residential Segregation of Foreign-Born and Native-Born Blacks
4357,9,Does Access to Health Care Affect Teen Birth Rates and School Dropout Rates? Evidence from School-based Health Centers
5234,2,Productivity and Growth in US Health Care
1481,16,Small Area Estimates of Childhood Obesity: A Spatial Multilevel Modeling Approach
1952,22,Competition and Economic Growth
1952,76,Competition and Economic Growth
4874,58,Civic Engagement and Citizens' Context
5382,412,Employment Diversity and Firm Outcomes
3445,117,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
1776,18,The Impact of the ACA Medicaid Expansion on Public Program Participation and Labor Market Outcomes of Low-Wage Workers
953,8,Using the National Crime Victimization Survey to Understand the Effects of State and Local Policies on the Incidence of Sexual Assault and Domestic Violence
5647,73,The Social and Economic Consequences of Violent Victimization in the NCVS
3530,61,The Urban Geography of Household Mortgages and Housing Returns
4326,75,The Urban Geography of Household Mortgages and Housing Returns
1019,1,"State Variation in Intimate Partner Violence Rates, Reporting, and Healthcare Utilization"
3009,32,"Hearing Quality, Social Resources, and Mortality among U.S. Adults"
959,4,Evaluating the Utility of SIPP Data to Examine the Increasingly Heterogeneous Foreign Born Population
4143,19,The Employment Dynamics of Firms and Establishments
4388,22,Understanding the Migration of Older Americans
3970,24,Trends and Disparities in Fatal Occupational Injuries
6039,27,Improving the Efficiency of Model-Informed Decision-making in Responsive and Adaptive Survey Designs
4541,484,Persistence of Place-Based Policies
1761,4,Local Market Concentration and its Determinants
1281,8,Causes and Consequences of Asset Reallocation and Utilization in the Economy
1965,15,Changes to the Housing Stock:  Loss of Housing Units - Internal Demographic Project
491,0,"College Graduate Outcomes: College Major and Selectivity, Earnings, Career Ladders and Labor Demand Shocks"
491,0,"College Graduate Outcomes: College Major and Selectivity, Earnings, Career Ladders and Labor Demand Shocks"
490,1,"College Graduate Outcomes: College Major and Selectivity, Earnings, Career Ladders and Labor Demand Shocks"
2443,13,"Oil and Gas Siting, Housing Choices, and Environmental Justice"
5453,24,Causes and Consequences of Eviction
7399,9,Longer-Term Effects of Educational Shocks Throughout Childhood
4508,15,Longer-Term Effects of Educational Shocks Throughout Childhood
336,2,Effects of Subcontracting and other Contractor Characteristics on Injuries in the Construction Industry
5840,71,Dynamics and Sustainable Management of the U.S. Meat Supply Chains
2623,55,The Effects of the Great Depression in the Very Long Run: Evidence from Large-Scale Longitudinal Microdata
923,3,Hierarchical mixed-effects modeling of standardized prevalence of vision loss in the United States: a generalizable approach to estimating vision loss in US Counties
200,1,Hierarchical mixed-effects modeling of standardized prevalence of vision loss in the United States: a generalizable approach to estimating vision loss in US Counties
4135,159,Hierarchical mixed-effects modeling of standardized prevalence of vision loss in the United States: a generalizable approach to estimating vision loss in US Counties
1617,30,"Immigration Enforcement, Crime, and Community Trust"
3345,14,Intergenerational Insurance and Brain Drain in the Great Recession
8161,29,"Trends, Transitions, and Well-Being in Small-Town America"
8102,9,Migration from Appalachia and the Role of Homeownership
2346,129,Migration from Appalachia and the Role of Homeownership
1251,0,Effects of Access to Early Childhood Education on Determinants of Mothers' Human Capital Investments
484,0,Effects of Access to Early Childhood Education on Determinants of Mothers' Human Capital Investments
5604,30,The Roles of the Opioid and COVID Crises in Entrepreneurship and Innovation
1434,20,Agglomeration Across Cities: General Equilibrium Impacts of the Spatial Networks of Inventors in the United States
6427,25,The Impact of Labor Management on Capital-Labor Substitution
4169,273,The Impact of Labor Management on Capital-Labor Substitution
3688,36,Sub-State Analysis of National Survey of Children's Health (NSCH) Oversamples for State and Local Public Health Planning & Assessment
2401,28,Sub-State Analysis of National Survey of Children's Health (NSCH) Oversamples for State and Local Public Health Planning & Assessment
5423,160,"Task-Specific Experience, Family Formation, and the Gender Wage Gap"
4368,34,"New estimates for the long-run trend in intragenerational, intergenerational and multigenerational mobility since 1850"
2551,5,"COVID-19 Outbreaks, Immigration Enforcement, and Demographic Change in the Rural United States"
2623,13,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
3474,17,The Effects of Early Childhood Circumstances on Adult Involvement in the Criminal Justice System
2744,23,"Racialization, Class, and Migration: Intersectional Effects of Structural Discrimination on Child Access to WIC"
4088,4,"Residential Property Valuation, Tax Exemptions, and Migration"
3292,19,"Incarceration and mortality in the United States, 2008-2015"
4508,5,The Effects of WIC Physical Presence Requirements on Program Participation Outcomes
6610,6613,"The Residential Segregation of Immigrant Groups in the United States, 1910-2000"
7949,1355,Locational Attainment and Residential Segregation in U.S. Metropolitan Areas
6335,1630,The Effect of Employer-Provided Health Insurance on Employment and Wages
6700,1028,The Effect of Employer-Provided Health Insurance on Employment and Wages
10413,1859,BR98-10  The Causes and Consequences of Job Destruction
6339,5461,The Long-Run Effects of Positive Shocks to Prenatal Conditions in the United States
11010,793,The Effect of SNAP Policy on Labor Market and Health Outcomes
3231,1029,Economic Strategies of Survival and Mobility:  Ethnic Entrepreneurship in the United States
9075,624,The Best Cities for Firms
2156,3853,"Democracy, Institutions, Firms and Trade"
4051,481,The Impact of Medicare on Mortality
6700,986,Research on Establishment Management Practices Using the National Employer Surveys
5808,642,The Determinants and Impacts of Great Society Programs
6880,2496,An Evaluation of the Impact of the Social Security Disability Insurance Program on Labor Force Participation during the 1990s
6244,424,Older Workers' Displacement and Mobility
8618,457,The Dynamics of the Allocation of Capital and Labor in the United States
12909,364,Gated Communities and Inequality in the United States
3797,457,Identifying Agglomeration Spillovers:  New Evidence from Large Plant Openings
8526,296,The impact of banking market structure on the life-cycle dynamics of non-financial industries
5645,695,The Role of Foreign Production in U.S. Prices and Firm Behavior
6556,473,The Effects of Vietnam Draft Lottery Status on Later Life Outcomes
8030,2607,Measuring the End-Use of U.S. Traded Goods
3778,583,Multi-year Measures of Income and Poverty
2125,25,Economic Strategies of Survival and Mobility:  Ethnic Entrepreneurship in the United States
1288,0,Older Workers' Displacement and Mobility
703,4,Older Workers' Displacement and Mobility
1162,3,Child Health Care Coordination in Health Provider Shortage Areas
3778,11,The Role of Financial Technologies in the U.S. Banking Industry
4536,4,Competition and Economic Growth
7065,4,The Power of the Pill in Shaping U.S. Fertility and Childbearing Behavior
4929,169,Internal Migration to and Retention of the Foreign Born in non-Traditional Destinations
6335,3,The role of rising female labor force participation for inner-city gentrification
6700,29,Industry and Sectoral Variation in Firm Dynamics
4795,15,Factors associated with internal and international migration at the block group level
